UsageDate,ServiceName,MeterCategory,Meter,ResourceId,ResourceName,ResourceGroup,Cost,UsageQuantity,Currency,DepartmentTag
2026-05-03,Foundry Models,Foundry Models,5.4 cd inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.121183,1.101663,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,5.4 inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.003064,0.911876,USD,Legal
2026-05-03,Foundry Models,Foundry Models,5.4 opt Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.688853,0.611103,USD,Legal
2026-05-03,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.537647,0.268823,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.394247,0.197124,USD,Claims Processing
2026-05-03,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.330532,0.165266,USD,Member Services
2026-05-03,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,0.037442,0.018721,USD,Data & Analytics
2026-05-03,Foundry Models,Foundry Models,GPT 4.1 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.438926,0.054866,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,GPT 4.1 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.518695,0.064837,USD,Claims Processing
2026-05-03,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.708294,0.283318,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.117867,0.011787,USD,Claims Processing
2026-05-03,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.037704,0.030163,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.130049,0.104039,USD,Claims Processing
2026-05-03,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.035578,0.028462,USD,Member Services
2026-05-03,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,0.089774,0.071819,USD,Engineering
2026-05-03,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.351992,0.035199,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.494723,0.049472,USD,Member Services
2026-05-03,Microsoft Copilot Studio,Microsoft Copilot Studio,Pay As You Go Copilot Credit,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.powerplatform/accounts/contoso-studio,contoso-studio,rg-copilot-studio,7.725047,772.504725,USD,
2026-05-03,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.329372,0.299429,USD,Clinical Operations
2026-05-03,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.295402,0.268547,USD,Claims Processing
2026-05-03,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,0.061202,0.055638,USD,Data & Analytics
