Date,ResourceName,ResourceGroup,Deployment,Metric,Value
2026-05-03,contoso-foundry-prod,rg-ai-prod,,InputTokens,609655.91
2026-05-03,contoso-foundry-prod,rg-ai-prod,,OutputTokens,239734.68
2026-05-03,contoso-foundry-prod,rg-ai-prod,,TotalCalls,401.37
2026-05-03,contoso-foundry-prod,rg-ai-prod,,ProvisionedUtilization,30.21
2026-05-03,contoso-foundry-claims,rg-ai-claims,,InputTokens,259431.48
2026-05-03,contoso-foundry-claims,rg-ai-claims,,OutputTokens,69749.99
2026-05-03,contoso-foundry-claims,rg-ai-claims,,TotalCalls,127.01
2026-05-03,contoso-foundry-claims,rg-ai-claims,,ProvisionedUtilization,27.46
2026-05-03,contoso-foundry-member,rg-ai-member,,InputTokens,150924.85
2026-05-03,contoso-foundry-member,rg-ai-member,,OutputTokens,34513.54
2026-05-03,contoso-foundry-member,rg-ai-member,,TotalCalls,123.52
2026-05-03,contoso-foundry-dev,rg-ai-dev,,InputTokens,104411.73
2026-05-03,contoso-foundry-dev,rg-ai-dev,,OutputTokens,24249.82
2026-05-03,contoso-foundry-dev,rg-ai-dev,,TotalCalls,46.19
2026-05-03,contoso-foundry-analytics,rg-ai-analytics,,InputTokens,63374.29
2026-05-03,contoso-foundry-analytics,rg-ai-analytics,,OutputTokens,22273.37
2026-05-03,contoso-foundry-analytics,rg-ai-analytics,,TotalCalls,26.93
2026-05-04,contoso-foundry-prod,rg-ai-prod,,InputTokens,3511505.74
2026-05-04,contoso-foundry-prod,rg-ai-prod,,OutputTokens,1060798.25
2026-05-04,contoso-foundry-prod,rg-ai-prod,,TotalCalls,2033.92
2026-05-04,contoso-foundry-prod,rg-ai-prod,,ProvisionedUtilization,26.11
2026-05-04,contoso-foundry-claims,rg-ai-claims,,InputTokens,2392080.85
2026-05-04,contoso-foundry-claims,rg-ai-claims,,OutputTokens,815487.13
2026-05-04,contoso-foundry-claims,rg-ai-claims,,TotalCalls,1387.66
2026-05-04,contoso-foundry-claims,rg-ai-claims,,ProvisionedUtilization,34.77
2026-05-04,contoso-foundry-member,rg-ai-member,,InputTokens,954715.73
2026-05-04,contoso-foundry-member,rg-ai-member,,OutputTokens,266632.67
2026-05-04,contoso-foundry-member,rg-ai-member,,TotalCalls,442.03
2026-05-04,contoso-foundry-dev,rg-ai-dev,,InputTokens,742812.58
2026-05-04,contoso-foundry-dev,rg-ai-dev,,OutputTokens,206261.35
2026-05-04,contoso-foundry-dev,rg-ai-dev,,TotalCalls,423.58
2026-05-04,contoso-foundry-analytics,rg-ai-analytics,,InputTokens,1953588.51
2026-05-04,contoso-foundry-analytics,rg-ai-analytics,,OutputTokens,643107.52
2026-05-04,contoso-foundry-analytics,rg-ai-analytics,,TotalCalls,1662.78
2026-05-05,contoso-foundry-prod,rg-ai-prod,,InputTokens,4921438.09
2026-05-05,contoso-foundry-prod,rg-ai-prod,,OutputTokens,1750121.82
2026-05-05,contoso-foundry-prod,rg-ai-prod,,TotalCalls,4438.17
2026-05-05,contoso-foundry-prod,rg-ai-prod,,ProvisionedUtilization,20.84
2026-05-05,contoso-foundry-claims,rg-ai-claims,,InputTokens,2721368.80
2026-05-05,contoso-foundry-claims,rg-ai-claims,,OutputTokens,1007531.95
2026-05-05,contoso-foundry-claims,rg-ai-claims,,TotalCalls,1141.03
2026-05-05,contoso-foundry-claims,rg-ai-claims,,ProvisionedUtilization,29.17
2026-05-05,contoso-foundry-member,rg-ai-member,,InputTokens,821484.17
2026-05-05,contoso-foundry-member,rg-ai-member,,OutputTokens,228229.55
2026-05-05,contoso-foundry-member,rg-ai-member,,TotalCalls,496.70
2026-05-05,contoso-foundry-dev,rg-ai-dev,,InputTokens,974434.63
2026-05-05,contoso-foundry-dev,rg-ai-dev,,OutputTokens,388121.10
2026-05-05,contoso-foundry-dev,rg-ai-dev,,TotalCalls,814.48
2026-05-05,contoso-foundry-analytics,rg-ai-analytics,,InputTokens,1197901.21
2026-05-05,contoso-foundry-analytics,rg-ai-analytics,,OutputTokens,441446.95
