"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount"
"2026-05-03","fnorrington","copilot","copilot_ai_credit","Claude Sonnet 5","23.330625","ai-credits","0.01","0.233306","0.233306","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","fnorrington","copilot","copilot_ai_credit","GPT-5.6 Sol","17.623089","ai-credits","0.01","0.176231","0.176231","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","fnorrington","copilot","copilot_ai_credit","GPT-5.6 Terra","2.393170","ai-credits","0.01","0.023932","0.023932","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","gbrentwood","copilot","copilot_ai_credit","GPT-5.6 Sol","14.102714","ai-credits","0.01","0.141027","0.141027","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-03","gbrentwood","copilot","copilot_ai_credit","GPT-5.6 Sol","3.344152","ai-credits","0.01","0.033442","0.033442","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-03","hyeovil","copilot","copilot_ai_credit","GPT-5.3-Codex","6.968236","ai-credits","0.01","0.069682","0.069682","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-03","hyeovil","copilot","copilot_ai_credit","GPT-5.6 Terra","11.999652","ai-credits","0.01","0.119997","0.119997","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-03","hyeovil","copilot","copilot_ai_credit","GPT-5.6 Terra","8.417930","ai-credits","0.01","0.084179","0.084179","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-03","inuttall","copilot","copilot_ai_credit","Claude Haiku 4.5","24.202970","ai-credits","0.01","0.242030","0.242030","0.000000","7000","contoso-data","","Data Platform","0","0"
"2026-05-03","inuttall","copilot","copilot_ai_credit","GPT-5.6 Luna","15.224100","ai-credits","0.01","0.152241","0.152241","0.000000","7000","contoso-data","","Data Platform","0","0"
"2026-05-03","kfeatherstone","copilot","copilot_ai_credit","GPT-5.6 Terra","20.668206","ai-credits","0.01","0.206682","0.206682","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","kfeatherstone","copilot","copilot_ai_credit","GPT-5.3-Codex","10.213055","ai-credits","0.01","0.102131","0.102131","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","kfeatherstone","copilot","coding_agent_ai_credit","Coding Agent model","31.864313","ai-credits","0.01","0.318643","0.318643","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","lrothwell","copilot","copilot_ai_credit","GPT-5.6 Terra","13.108902","ai-credits","0.01","0.131089","0.131089","0.000000","7000","contoso-data","","Member Digital","0","0"
"2026-05-03","lrothwell","copilot","copilot_ai_credit","MAI-Code-1-Flash","26.931452","ai-credits","0.01","0.269315","0.269315","0.000000","7000","contoso-data","","Member Digital","0","0"
"2026-05-03","mcholmondeley","copilot","copilot_ai_credit","GPT-5.4","34.920901","ai-credits","0.01","0.349209","0.349209","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-03","moglethorpe2","copilot","copilot_ai_credit","Gemini 3.1 Pro","19.795608","ai-credits","0.01","0.197956","0.197956","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","moglethorpe2","copilot","copilot_ai_credit","GPT-5.6 Sol","16.623978","ai-credits","0.01","0.166240","0.166240","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","moglethorpe2","copilot","copilot_ai_credit","Claude Sonnet 5","9.090637","ai-credits","0.01","0.090906","0.090906","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-03","omicklethwait","copilot","copilot_ai_credit","Gemini 3.1 Pro","11.540465","ai-credits","0.01","0.115405","0.115405","0.000000","7000","contoso-eng","","Core Infrastructure","0","0"
"2026-05-03","omicklethwait","copilot","copilot_ai_credit","Claude Haiku 4.5","9.267524","ai-credits","0.01","0.092675","0.092675","0.000000","7000","contoso-eng","","Core Infrastructure","0","0"
"2026-05-03","omicklethwait","copilot","copilot_ai_credit","GPT-5.6 Sol","7.307356","ai-credits","0.01","0.073074","0.073074","0.000000","7000","contoso-eng","","Core Infrastructure","0","0"
"2026-05-03","pmiddleton","copilot","copilot_ai_credit","MAI-Code-1-Flash","18.172777","ai-credits","0.01","0.181728","0.181728","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
