"PeopleHistoricalId","Organization","IsCopilotLicensed"
"9d685c73-0849-0523-3e39-cc6f7d6dde941769731200","Member Services","true"
"79c69ed6-720f-5b04-7594-4b7fc998bb5d1769731200","Member Services","true"
"b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200","Member Services","true"
"d69fdd5f-c897-6d6d-e3a0-ecb0717f3f3d1769731200","Member Services","true"
"dd23272d-350f-3d7e-97ff-c5a52ac66ce51769731200","Member Services","true"
"136e7dc7-6d06-20b8-5432-d5bf13fcb30e1769731200","Member Services","true"
"42493354-26d8-159c-ebec-bb93f286bf0e1769731200","Member Services","true"
"6e4084c9-63c5-2231-cd08-81a6202424881769731200","Member Services","true"
"4e5d4ac7-d8de-81ff-24e2-863d7df8ff561769731200","Member Services","true"
"79e1c2f0-545f-0501-cffb-c7630b0788151769731200","Member Services","true"
"e44f4fb8-1fc2-39c5-7077-2411c0103f4a1769731200","Member Services","true"
"d0ef0c82-7b87-46ec-e4f2-4cb1d06255b31769731200","Member Services","true"
"0e0131a4-64c7-768f-781b-f3451689a4e01769731200","Member Services","false"
"5ed2dfa4-882f-bdb5-08e8-70057bf9c58b1769731200","Member Services","true"
"2ac7182a-82b1-f722-5ece-f7130c46577d1769731200","Member Services","true"
"fcbf805f-7d0d-fd0e-b229-d6dfb8aac67a1769731200","Member Services","true"
"a2ccc1d2-aa1a-342b-c760-dc630cf7e2b51769731200","Member Services","true"
"0dbfb0fc-21ba-ab86-758d-d607623673ae1769731200","Member Services","true"
"8b331732-168c-5185-e4b2-8fb6809c32181769731200","Member Services","true"
"66997410-fc27-a641-bb8b-475d01acf6011769731200","Member Services","true"
"6cfa1292-a08b-d065-bff4-c377b60f4b9f1769731200","Member Services","true"
"a3e03f5e-4325-6694-1db3-f8c6acdff5641769731200","Member Services","true"
"cc123bad-1d23-58bb-446e-b78159d2a1dc1769731200","Member Services","true"
"acbf48db-24eb-6c27-13e0-a924d298dee61769731200","Member Services","true"
"bcc0aa72-85a0-c332-f5ae-ea71b714a8451769731200","Member Services","true"
"d2c6fb95-0370-3df8-b62b-862b480d19011769731200","Member Services","true"
"97969497-08d8-66dc-42a4-7b9ed88af3861769731200","Member Services","true"
"4377f702-0ad4-a26c-6aee-83b50f622e741769731200","Member Services","true"
"1cd03ba9-e3cf-9309-04b5-26ea612aa2f81769731200","Member Services","true"
"9df98b51-6ba4-323d-9df4-bc4e4aafda881764547200","Clinical Operations","true"
"e2986d5c-4919-358b-30d9-5b24affe79671769731200","Member Services","true"
"b8067007-44ef-a30f-7b2f-998913b2e8871769731200","Member Services","true"
"7965ad22-cc58-9c50-b9b6-e3284f8edae51769731200","Member Services","true"
"19ec15fd-dd3e-f77d-c134-491e5f6876f81769731200","Member Services","true"
"8e9415ad-f342-e924-fbef-7ce573004dca1769731200","Member Services","true"
"fc5a6fdb-b924-3c13-b8a2-0da79c754b621769731200","Member Services","true"
"3bac0fbd-48a1-1a85-f5e5-fc56c92823791769731200","Member Services","true"
"cc7ec13b-5a49-c2d9-11da-af920c5404351769731200","Member Services","true"
"bf9d35ef-e968-9c36-86ae-ae9fb96515b01769731200","Member Services","true"
"82d787f6-dffe-dd2c-3b18-21692006e7a61769731200","Member Services","true"
"aa363682-03bd-e738-6feb-69c7c56d38ce1769731200","Member Services","true"
"19176095-ca85-e82e-484c-fa794f8bccce1769731200","Member Services","true"
"b4c91f08-6850-2fc7-a941-a5718bb583911769731200","Member Services","false"
"4a2d1f37-4aca-9a0b-2e95-0f642aa69ab31769731200","Member Services","true"
"f8b1789b-9218-6d9d-4948-3615f6728b341769731200","Member Services","true"
"da78db16-ba37-2a8a-919a-6138336ecef71769731200","Member Services","true"
"d155cd22-2940-182d-097b-630d8d425a081769731200","Member Services","false"
"ded48172-1f0e-4bbe-db4c-62453632a1bc1769731200","Member Services","true"
"e069eb75-a28f-4df1-8353-eb1972d008831769731200","Member Services","true"
"7447ef4e-c1b4-6237-2081-e9a10977124a1769731200","Member Services","true"
"c88b23dd-5043-8ec2-f01b-c3e922811bf91769731200","Member Services","true"
"2b628bc6-2b26-69d5-0475-02f36503ed731769731200","Member Services","true"
"fd352160-aa97-2edc-a1f6-7c7d8e65ddeb1769731200","Member Services","true"
"e132cc5e-877b-c73d-f6d5-9385dced605e1769731200","Member Services","true"
"f02462ad-8b0a-5980-9b47-e9783e7e68431769731200","Member Services","true"
"38568998-c349-f69d-11a6-5b4e6226ee241769731200","Member Services","true"
"c7d6e6d8-5f00-63d4-d894-859fd48f094a1769731200","Member Services","true"
"2090a70a-0890-e106-6247-2aadfd98b3d31769731200","Member Services","true"
"987d018f-7b90-26e1-19b8-e9675b0923ee1769731200","Member Services","true"
"1f48a056-1965-3dcd-1aba-751f9a6b52141769731200","Member Services","true"
"71e69728-3c1d-ad64-fb0c-de8af6f037fe1769731200","Member Services","false"
"55474b18-f43c-7c66-a947-5ca206a098a31769731200","Member Services","true"
"b6bed84b-f9c7-70ae-48af-19b8d3abf5e61769731200","Member Services","true"
"2e111460-3f5c-f31f-bd51-f2556f5d55951769731200","Member Services","true"
