SpendingPolicyId,Name,PlanLimit,UserLimit,IncludedServices
"aac45806-27e8-59d6-9029-f64dfef3be6b","Actuarial & Underwriting – Leadership",95500,11888,"Cowork;WorkIQ"
"d7d216da-7795-580a-beaf-0a2d030bc63a","Actuarial & Underwriting – Standard",173500,4572,"Cowork;WorkIQ"
"48f4175a-5365-5c9a-a88c-55b000238c3c","Claims Processing – Frontline",307000,3760,"Cowork;WorkIQ"
"c3715fdd-417c-5ff2-8bc1-d6b0e8fbb032","Claims Processing – Leadership",90500,15768,"Cowork;WorkIQ"
"99d4804c-a8d6-59f4-bf02-43c9d5d85d74","Claims Processing – Standard",307000,6065,"Cowork;WorkIQ"
"d4524dd0-8a04-52bc-b7e1-e9f9539a994e","Clinical Operations – Clinical",541500,5010,"Cowork;WorkIQ"
"8d67bd13-0217-55a1-8b82-9f1dadb2fe66","Clinical Operations – Leadership",77500,9649,"Cowork;WorkIQ"
"83e60180-385b-5319-afb7-90bbc1298ffc","Clinical Operations – Standard",128000,3711,"Cowork;WorkIQ"
"a0e4abf0-1787-517b-b1f7-62b9f014dec1","Data & Analytics – Builder",244500,5319,"Cowork;WorkIQ"
"9d59d6fe-4117-5a24-9f39-6f07b57d5562","Data & Analytics – Leadership",17000,7475,"Cowork;WorkIQ"
"0972ce61-8825-5d66-aa4a-9b54999799d5","Data & Analytics – Standard",69500,2875,"Cowork;WorkIQ"
"9596d30b-dd22-5634-a431-be537daa7f8c","Engineering – Builder",434000,5167,"Cowork;WorkIQ"
"d091b158-6336-5e95-aa01-1b141f5a5a35","Engineering – Leadership",42000,7262,"Cowork;WorkIQ"
"8fc65e6d-2742-5d78-8a82-460c8a21a585","Engineering – Standard",42000,2793,"Cowork;WorkIQ"
"f9a95ce7-b528-5e2e-a75d-e73dff0f165f","Finance – Leadership",185000,12374,"Cowork;WorkIQ"
"a385a28c-b312-5ea9-830a-cd73f383f798","Finance – Standard",137000,4759,"Cowork;WorkIQ"
"6be81346-7dc5-5915-bb7c-e63ac42cba11","Government Programs – Leadership",56000,16294,"Cowork;WorkIQ"
"41a9ac0d-bc02-573b-b3bf-963d29e4850e","Government Programs – Standard",223500,6267,"Cowork;WorkIQ"
"5148547a-8921-5613-b197-20f4790ce42a","Human Resources – Leadership",48000,13849,"Cowork;WorkIQ"
"228b0d00-b2b1-54f6-8c47-8c8e91b3a2dc","Human Resources – Standard",159500,5327,"Cowork;WorkIQ"
"8e213797-54b2-5302-abb1-f407bf33565c","IT Service Desk – Frontline",184500,4218,"Cowork;WorkIQ"
"214d8751-afbf-5ca6-a0b0-31d695b37ce9","IT Service Desk – Leadership",20500,17614,"Cowork;WorkIQ"
"1bfcd701-6fbe-52db-b420-c507929413db","IT Service Desk – Standard",266000,6803,"Cowork;WorkIQ"
"87053e70-2a91-57f1-80f4-c3ed626a2d9e","Legal & Compliance – Leadership",51500,8977,"Cowork;WorkIQ"
"a0e99adf-feed-5946-b929-148e9cb14d7c","Legal & Compliance – Standard",35500,3453,"Cowork;WorkIQ"
"d9b3303f-1a16-5e06-8370-974bb2a8fc44","Marketing – Leadership",43500,12565,"Cowork;WorkIQ"
"7d153525-e88c-5dad-9c6b-3634197dbf34","Marketing – Standard",122500,4833,"Cowork;WorkIQ"
"80062a9d-3f39-5601-897e-c676a66867df","Member Services – Frontline",624000,4240,"Cowork;WorkIQ"
"d9286b9b-17f0-5683-b9a0-130b32d39123","Member Services – Leadership",122500,17780,"Cowork;WorkIQ"
"04f20cf3-1610-5311-b3c1-d3c7d55337e8","Member Services – Standard",346000,6839,"Cowork;WorkIQ"
"f4049ef2-9c5f-536a-b88b-960ecc6c4d7a","Network Management – Leadership",103000,11221,"Cowork;WorkIQ"
"47e030e7-76d4-5202-b598-4b598bac4ac9","Network Management – Standard",273000,4316,"Cowork;WorkIQ"
"ce4eeacf-1fa5-59fa-bdc6-16a57892dc88","Pharmacy Benefits – Clinical",180000,5398,"Cowork;WorkIQ"
"caacf21a-58e6-52a0-aad9-7180d40f9102","Pharmacy Benefits – Leadership",12000,10396,"Cowork;WorkIQ"
"e6428a05-d1a9-54de-bc73-bb953f2cf46f","Pharmacy Benefits – Standard",87500,3998,"Cowork;WorkIQ"
"8d64d5a1-97bb-567a-9785-72c26d0cd199","Product Management – Builder",145000,6641,"Cowork;WorkIQ"
"886b868f-4382-5cf9-94d3-cdf600071edc","Product Management – Leadership",32000,9334,"Cowork;WorkIQ"
"f79cc923-ca4c-5284-95cc-ccc1aac08ead","Product Management – Standard",41500,3590,"Cowork;WorkIQ"
"c8772241-2c0d-59f2-9554-1bb93a4b1808","Sales (Employer Group) – Leadership",92500,13410,"Cowork;WorkIQ"
"ae5a16ee-a53f-5528-be93-5172c3149885","Sales (Employer Group) – Sales",134000,4023,"Cowork;WorkIQ"
"3ded11ec-e082-5bf2-b627-b45b3d11069f","Sales (Employer Group) – Standard",29500,5158,"Cowork;WorkIQ"
"00000000-0000-0000-0000-000000000000",,,,
